name	set_code	set_name
Wurmcoil Engine	pPRE	Prerelease Events
Hero of Bladehold	pPRE	Prerelease Events
Glissa, the Traitor	pPRE	Prerelease Events
Sheoldred, Whispering One	pPRE	Prerelease Events
Bloodlord of Vaasgoth	pPRE	Prerelease Events
Mayor of Avabruck	pPRE	Prerelease Events
Howlpack Alpha	pPRE	Prerelease Events
Ravenous Demon	pPRE	Prerelease Events
Archdemon of Greed	pPRE	Prerelease Events
Moonsilver Spear	pPRE	Prerelease Events
Xathrid Gorgon	pPRE	Prerelease Events
Archon of the Triumvirate	pPRE	Prerelease Events
Hypersonic Dragon	pPRE	Prerelease Events
Carnival Hellsteed	pPRE	Prerelease Events
Corpsejack Menace	pPRE	Prerelease Events
Grove of the Guardian	pPRE	Prerelease Events
Consuming Aberration	pPRE	Prerelease Events
Fathom Mage	pPRE	Prerelease Events
Foundry Champion	pPRE	Prerelease Events
Rubblehulk	pPRE	Prerelease Events
Treasury Thrull	pPRE	Prerelease Events
Maze's End	pPRE	Prerelease Events
Plains	pPRE	Prerelease Events
Megantic Sliver	pPRE	Prerelease Events
Celestial Archon	pPRE	Prerelease Events
Shipbreaker Kraken	pPRE	Prerelease Events
Abhorrent Overlord	pPRE	Prerelease Events
Ember Swallower	pPRE	Prerelease Events
Anthousa, Setessan Hero	pPRE	Prerelease Events
Silent Sentinel	pPRE	Prerelease Events
Arbiter of the Ideal	pPRE	Prerelease Events
Eater of Hope	pPRE	Prerelease Events
Forgestoker Dragon	pPRE	Prerelease Events
Nessian Wilds Ravager	pPRE	Prerelease Events
Dawnbringer Charioteers	pPRE	Prerelease Events
Scourge of Fleets	pPRE	Prerelease Events
Doomwake Giant	pPRE	Prerelease Events
Spawn of Thraxes	pPRE	Prerelease Events
Heroes' Bane	pPRE	Prerelease Events
Resolute Archangel	pPRE	Prerelease Events
Mercurial Pretender	pPRE	Prerelease Events
Indulgent Tormentor	pPRE	Prerelease Events
Siege Dragon	pPRE	Prerelease Events
Phytotitan	pPRE	Prerelease Events
